No.,Time,Source,Destination,Protocol,Length,Signal strength (dBm),Noise level (dBm),Signal/noise ratio (dB),Channel,Frequency,Info,Loation,Time_of_day,Day,Sequence Number,Retransmission Flag,Retransmission Count,absolute time,Latency
1,2024-10-25 19:25:09.617,ICANNIANADep_00:04:00,Apple_7b:57:87,802.11,170,-55 dBm,,,100,5500MHz,"QoS Data, SN=80, FN=0, Flags=.p....F.C",Library,19,Friday,80.0,0,0.0,2024-10-25 19:25:09.617,
2,2024-10-25 19:25:09.629,ICANNIANADep_00:04:00,LiteonTechno_64:1b:19,802.11,181,-58 dBm,,,100,5500MHz,"QoS Data, SN=3374, FN=0, Flags=.p....F.C",Library,19,Friday,3374.0,0,0.0,2024-10-25 19:25:09.629,0.012
9,2024-10-25 19:25:09.678,ba:3c:bf:c5:aa:bd,Broadcast,802.11,395,-85 dBm,-98 dBm,13 dB,6,2437MHz,"Action, SN=2370, FN=14, Flags=........C",Library,19,Friday,2370.0,0,0.0,2024-10-25 19:25:09.678,0.049
130,2024-10-25 19:25:09.920,MS-NLB-PhysServer-32_09:64:3f:56:7c,Broadcast,802.11,284,-85 dBm,-98 dBm,13 dB,6,2437MHz,"Beacon frame, SN=1436, FN=0, Flags=........C, BI=100, SSID=""Will pettiona""",Library,19,Friday,1436.0,0,0.0,2024-10-25 19:25:09.920,0.242
135,2024-10-25 19:25:09.924,ICANNIANADep_00:04:00,LiteonTechno_d0:7f:da,802.11,154,-80 dBm,-98 dBm,18 dB,6,2437MHz,"QoS Data, SN=1037, FN=0, Flags=.p....F.C",Library,19,Friday,1037.0,0,0.0,2024-10-25 19:25:09.924,0.004
143,2024-10-25 19:25:09.941,HewlettPacka_b6:f7:88,ff:ff:ff:ab:ff:ff,802.11,378,-86 dBm,-98 dBm,12 dB,6,2437MHz,"Beacon frame, SN=266, FN=0, Flags=........C, BI=101, SSID=""eduroa]""",Library,19,Friday,266.0,0,0.0,2024-10-25 19:25:09.941,0.017
145,2024-10-25 19:25:09.948,57:86:00:04:e5:0d,9d:b1:17:9d:d5:b9,802.11,459,-85 dBm,-98 dBm,13 dB,6,2437MHz,"Action, SN=2448, FN=3, Flags=o.m.....C[Malformed Packet]",Library,19,Friday,2448.0,0,0.0,2024-10-25 19:25:09.948,0.007
152,2024-10-25 19:25:09.969,HewlettPacka_7a:c4:80,Broadcast,802.11,369,-78 dBm,-98 dBm,20 dB,6,2437MHz,"Beacon frame, SN=1509, FN=0, Flags=........C, BI=100, SSID=""UNSW-IoT""",Library,19,Friday,1509.0,0,0.0,2024-10-25 19:25:09.969,0.021
153,2024-10-25 19:25:09.970,HewlettPacka_7a:c4:85,Broadcast,802.11,368,-78 dBm,-98 dBm,20 dB,6,2437MHz,"Beacon frame, SN=1510, FN=0, Flags=........C, BI=100, SSID=""uniwide""",Library,19,Friday,1510.0,0,0.0,2024-10-25 19:25:09.970,0.001
155,2024-10-25 19:25:09.977,d8:d0:8c:e8:8d:4c,c2:7b:5f:95:f9:77,802.11,55,-88 dBm,-98 dBm,10 dB,6,2437MHz,"QoS Null function (No data), SN=764, FN=0, Flags=...P...TC",Library,19,Friday,764.0,0,0.0,2024-10-25 19:25:09.977,0.007
156,2024-10-25 19:25:09.980,a6:8a:31:58:03:11,Broadcast,802.11,284,-85 dBm,-98 dBm,13 dB,6,2437MHz,"Beacon frame, SN=1797, FN=0, Flags=........C, BI=100, SSID=""Walters Phone""",Library,19,Friday,1797.0,0,0.0,2024-10-25 19:25:09.980,0.003
161,2024-10-25 19:25:09.998,b2:fe:6f:a7:9f:82,Broadcast,802.11,232,-53 dBm,-98 dBm,45 dB,6,2437MHz,"Beacon frame, SN=3385, FN=0, Flags=........C, BI=100, SSID=""Lynn's A55""",Library,19,Friday,3385.0,0,0.0,2024-10-25 19:25:09.998,0.018
165,2024-10-25 19:25:10.015,HewlettPacka_7a:f1:20,Broadcast,802.11,369,-85 dBm,-98 dBm,13 dB,6,2437MHz,"Beacon frame, SN=460, FN=0, Flags=........C, BI=100, SSID=""UNSW-IoT""",Library,19,Friday,460.0,0,0.0,2024-10-25 19:25:10.015,0.017
167,2024-10-25 19:25:10.016,HewlettPacka_7a:f1:25,Broadcast,802.11,352,-86 dBm,-98 dBm,12 dB,6,2437MHz,"Beacon frame, SN=463, FN=0, Flags=........C, BI=100, SSID=""Global_Students""",Library,19,Friday,463.0,0,0.0,2024-10-25 19:25:10.016,0.001
166,2024-10-25 19:25:10.016,HewlettPacka_7a:f1:24,Broadcast,802.11,340,-86 dBm,-98 dBm,12 dB,6,2437MHz,"Beacon frame, SN=462, FN=0, Flags=........C, BI=100, SSID=""UNSW Guest""",Library,19,Friday,462.0,0,0.0,2024-10-25 19:25:10.016,0.0
168,2024-10-25 19:25:10.017,HewlettPacka_7a:f1:22,Broadcast,802.11,361,-84 dBm,-98 dBm,14 dB,6,2437MHz,"Beacon frame, SN=2260, FN=7, Flags=........C, BI=62281, SSID=Wildcard (Broadcast)[Malformed Packet]",Library,19,Friday,2260.0,0,0.0,2024-10-25 19:25:10.017,0.001
176,2024-10-25 19:25:10.043,HewlettPacka_7a:80:82,Broadcast,802.11,369,-86 dBm,-98 dBm,12 dB,6,2437MHz,"Beacon frame, SN=271, FN=0, Flags=........C, BI=100, SSID=""UNSW-IoT""[Malformed Packet]",Library,19,Friday,271.0,0,0.0,2024-10-25 19:25:10.043,0.026
177,2024-10-25 19:25:10.043,HewlettPacka_7a:18:92,Broadcast,802.11,378,-84 dBm,-98 dBm,14 dB,6,2437MHz,"Beacon frame, SN=272, FN=0, Flags=........C, BI=100, SSID=""eduroam""[Malformed Packet: length of contained item exceeds length of containing item]",Library,19,Friday,272.0,0,0.0,2024-10-25 19:25:10.043,0.0
178,2024-10-25 19:25:10.044,44:22:53:c9:10:4c,ac:9a:e8:8c:9b:02,802.11,361,-88 dBm,-98 dBm,10 dB,6,2437MHz,"Beacon frame, SN=2532, FN=7, Flags=........C, BI=21109[Malformed Packet: length of contained item exceeds length of containing item]",Library,19,Friday,2532.0,0,0.0,2024-10-25 19:25:10.044,0.001
