No.,Time,Source,Destination,Protocol,Length,Signal strength (dBm),Noise level (dBm),Signal/noise ratio (dB),Channel,Frequency,Info,Loation,Time_of_day,Day,Sequence Number,Retransmission Flag,Retransmission Count,absolute time,Latency
2,2024-10-25 11:55:36.718,6a:8e:f2:a4:86:7f,Broadcast,802.11,286,-78 dBm,-92 dBm,14 dB,6,2437MHz,"Beacon frame, SN=216, FN=0, Flags=........C, BI=100, SSID=""Lolaç§200Â¥231s iPhone""",Library,12,Friday,216.0,0,0.0,2024-10-25 11:55:36.718,
11,2024-10-25 11:55:36.729,HewlettPacka_7a:aa:43,fa:09:4a:78:93:88,802.11,354,-76 dBm,-92 dBm,16 dB,6,2437MHz,"Probe Response, SN=197, FN=0, Flags=........C, BI=100, SSID=""UNSW-IoT""",Library,12,Friday,197.0,0,0.0,2024-10-25 11:55:36.729,0.011
13,2024-10-25 11:55:36.736,16:91:d7:d0:3b:1c,fa:09:4a:78:93:88,802.11,271,-82 dBm,-92 dBm,10 dB,6,2437MHz,"Probe Response, SN=3038, FN=0, Flags=....R...C, BI=100, SSID=""iPhone""[Malformed Packet]",Library,12,Friday,3038.0,0,0.0,2024-10-25 11:55:36.736,0.007
19,2024-10-25 11:55:36.758,7f:b2:a0:86:65:58,89:65:30:1a:17:1f,802.11,56,-89 dBm,,,149,5745MHz,"Data + CF-Poll, SN=2300, FN=10, Flags=op.P.M..C",Library,12,Friday,2300.0,0,0.0,2024-10-25 11:55:36.758,0.022
20,2024-10-25 11:55:36.759,Apple_6d:21:a3,b6:40:4b:53:18:d3,802.11,52,-85 dBm,,,149,5745MHz,"Null function (No data), SN=1028, FN=0, Flags=.......TC",Library,12,Friday,1028.0,0,0.0,2024-10-25 11:55:36.759,0.001
28,2024-10-25 11:55:36.766,22:05:3c:c1:0d:82,Broadcast,802.11,450,-86 dBm,,,149,5745MHz,"Beacon frame, SN=1751, FN=0, Flags=........C, BI=100, SSID=""Burrill Pines Motel Office""",Library,12,Friday,1751.0,0,0.0,2024-10-25 11:55:36.766,0.007
30,2024-10-25 11:55:36.773,a6:ac:19:9b:45:ef,Broadcast,802.11,440,-72 dBm,,,149,5745MHz,"Beacon frame, SN=354, FN=0, Flags=........C, BI=100, SSID=""Tamerç§200Â¥231s iPhone""",Library,12,Friday,354.0,0,0.0,2024-10-25 11:55:36.773,0.007
31,2024-10-25 11:55:36.775,Apple_14:d7:fb,72:a6:be:ab:9e:47,802.11,52,-85 dBm,,,149,5745MHz,"Null function (No data), SN=2044, FN=0, Flags=...P...TC",Library,12,Friday,2044.0,0,0.0,2024-10-25 11:55:36.775,0.002
34,2024-10-25 11:55:36.777,ba:bb:71:63:f9:4f,Broadcast,802.11,443,-83 dBm,,,149,5745MHz,"Beacon frame, SN=2511, FN=0, Flags=........C, BI=300, SSID=00000000000000000000000000000000000000",Library,12,Friday,2511.0,0,0.0,2024-10-25 11:55:36.777,0.002
43,2024-10-25 11:55:36.787,fe:a5:5f:8d:8e:68,Broadcast,802.11,439,-82 dBm,,,149,5745MHz,"Beacon frame, SN=1821, FN=0, Flags=........C, BI=300, SSID=000000000000000000000000",Library,12,Friday,1821.0,0,0.0,2024-10-25 11:55:36.787,0.01
46,2024-10-25 11:55:36.790,Apple_65:b9:2f,d2:02:5f:17:a7:6f,802.11,52,-80 dBm,,,149,5745MHz,"Null function (No data), SN=3618, FN=0, Flags=.......TC",Library,12,Friday,3618.0,0,0.0,2024-10-25 11:55:36.790,0.003
52,2024-10-25 11:55:36.792,d2:02:5f:17:a7:6f,Broadcast,802.11,443,-74 dBm,,,149,5745MHz,"Beacon frame, SN=2880, FN=0, Flags=........C, BI=300, SSID=00000000000000000000000000000000",Library,12,Friday,2880.0,0,0.0,2024-10-25 11:55:36.792,0.002
74,2024-10-25 11:55:36.804,7e:d4:c0:76:05:31,c7:4d:72:ff:ff:ff,802.11,394,-90 dBm,,,149,5745MHz,"Action, SN=3237, FN=9, Flags=........C",Library,12,Friday,3237.0,0,0.0,2024-10-25 11:55:36.804,0.012
75,2024-10-25 11:55:36.806,76:1e:b8:98:6e:10,Broadcast,802.11,407,-80 dBm,,,149,5745MHz,"Beacon frame, SN=2156, FN=0, Flags=........C, BI=100, SSID=00000000000000000000",Library,12,Friday,2156.0,0,0.0,2024-10-25 11:55:36.806,0.002
89,2024-10-25 11:55:36.816,fa:e7:14:ae:19:71,Broadcast,802.11,442,-74 dBm,,,149,5745MHz,"Beacon frame, SN=684, FN=0, Flags=........C, BI=100, SSID=""Tomç§200Â¥231s iPhone (2)""",Library,12,Friday,684.0,0,0.0,2024-10-25 11:55:36.816,0.01
103,2024-10-25 11:55:36.823,72:a6:be:ab:9e:47,Broadcast,802.11,401,-85 dBm,,,149,5745MHz,"Beacon frame, SN=2920, FN=0, Flags=........C, BI=100, SSID=""Joel""",Library,12,Friday,2920.0,0,0.0,2024-10-25 11:55:36.823,0.007
