No.,Time,Source,Destination,Protocol,Length,Signal strength (dBm),Noise level (dBm),Signal/noise ratio (dB),Channel,Frequency,Info,Loation,Time_of_day,Day,Sequence Number,Retransmission Flag,Retransmission Count,absolute time,Latency
157,2024-10-26 19:09:04.869,HewlettPacka_5d:39:50,Broadcast,802.11,370,-71 dBm,-72 dBm,1 dB,1,2412MHz,"Beacon frame, SN=2839, FN=0, Flags=........C, BI=100, SSID=""UNSW-IoT""",Library,19,Saturday,2839.0,0,0.0,2024-10-26 19:09:04.869,0.005
158,2024-10-26 19:09:04.869,HewlettPacka_5d:39:54,Broadcast,802.11,341,-71 dBm,-72 dBm,1 dB,1,2412MHz,"Beacon frame, SN=2841, FN=0, Flags=........C, BI=100, SSID=""UNSW Guest""",Library,19,Saturday,2841.0,0,0.0,2024-10-26 19:09:04.869,0.0
159,2024-10-26 19:09:04.870,HewlettPacka_5d:39:52,Broadcast,802.11,352,-71 dBm,-72 dBm,1 dB,1,2412MHz,"Beacon frame, SN=2842, FN=0, Flags=........C, BI=100, SSID=""Global_Students""",Library,19,Saturday,2842.0,0,0.0,2024-10-26 19:09:04.870,0.001
160,2024-10-26 19:09:04.870,HewlettPacka_5d:39:53,Broadcast,802.11,362,-70 dBm,-72 dBm,2 dB,1,2412MHz,"Beacon frame, SN=2843, FN=0, Flags=........C, BI=100, SSID=Wildcard (Broadcast)",Library,19,Saturday,2843.0,0,0.0,2024-10-26 19:09:04.870,0.0
161,2024-10-26 19:09:04.870,HewlettPacka_5d:39:51,Broadcast,802.11,369,-69 dBm,-72 dBm,3 dB,1,2412MHz,"Beacon frame, SN=2844, FN=0, Flags=........C, BI=100, SSID=""uniwide""",Library,19,Saturday,2844.0,0,0.0,2024-10-26 19:09:04.870,0.0
162,2024-10-26 19:09:04.874,HewlettPacka_7b:13:11,Broadcast,802.11,369,-82 dBm,-72 dBm,-10 dB,1,2412MHz,"Beacon frame, SN=714, FN=0, Flags=........C, BI=100, SSID=""UNSW-IoT""",Library,19,Saturday,714.0,0,0.0,2024-10-26 19:09:04.874,0.004
163,2024-10-26 19:09:04.879,30:9a:3b:cb:fe:d3,06:5e:39:63:7b:05,802.11,1362,-74 dBm,-72 dBm,-2 dB,1,2412MHz,"Data, SN=1790, FN=13, Flags=.pm.....C",Library,19,Saturday,1790.0,0,0.0,2024-10-26 19:09:04.879,0.005
164,2024-10-26 19:09:04.917,HewlettPacka_7a:5b:e0,Broadcast,802.11,378,-71 dBm,-72 dBm,1 dB,1,2412MHz,"Beacon frame, SN=4048, FN=0, Flags=........C, BI=100, SSID=""eduroam""",Library,19,Saturday,4048.0,0,0.0,2024-10-26 19:09:04.917,0.038
167,2024-10-26 19:09:04.927,HewlettPacka_59:10:e3,Broadcast,802.11,369,-82 dBm,-72 dBm,-10 dB,1,2412MHz,"Beacon frame, SN=3224, FN=0, Flags=........C, BI=100, SSID=""uniwide""",Library,19,Saturday,3224.0,0,0.0,2024-10-26 19:09:04.927,0.01
171,2024-10-26 19:09:04.976,10:b6:ce:02:ac:10,ff:ff:67:20:44:81,802.11,369,-82 dBm,-72 dBm,-10 dB,1,2412MHz,"Beacon frame, SN=1951, FN=13, Flags=........C, BI=30357[Malformed Packet]",Library,19,Saturday,1951.0,0,0.0,2024-10-26 19:09:04.976,0.049
172,2024-10-26 19:09:04.977,HewlettPacka_7b:13:15,Broadcast,802.11,378,-78 dBm,-72 dBm,-6 dB,1,2412MHz,"Beacon frame, SN=721, FN=0, Flags=........C, BI=100, SSID=""eduroam""",Library,19,Saturday,721.0,0,0.0,2024-10-26 19:09:04.977,0.001
173,2024-10-26 19:09:04.977,HewlettPacka_7b:13:14,Broadcast,802.11,340,-81 dBm,-72 dBm,-9 dB,1,2412MHz,"Beacon frame, SN=722, FN=0, Flags=........C, BI=100, SSID=""UNSW Guest""",Library,19,Saturday,722.0,0,0.0,2024-10-26 19:09:04.977,0.0
174,2024-10-26 19:09:04.977,HewlettPacka_7b:13:12,Broadcast,802.11,352,-82 dBm,-72 dBm,-10 dB,1,2412MHz,"Beacon frame, SN=723, FN=0, Flags=........C, BI=100, SSID=""Global_Students""",Library,19,Saturday,723.0,0,0.0,2024-10-26 19:09:04.977,0.0
176,2024-10-26 19:09:05.020,HewlettPacka_7a:5b:e3,Broadcast,802.11,340,-60 dBm,-72 dBm,12 dB,1,2412MHz,"Beacon frame, SN=4055, FN=0, Flags=........C, BI=100, SSID=""UNSW Guest""",Library,19,Saturday,4055.0,0,0.0,2024-10-26 19:09:05.020,0.043
178,2024-10-26 19:09:05.021,HewlettPacka_7a:5b:e5,Broadcast,802.11,368,-61 dBm,-72 dBm,11 dB,1,2412MHz,"Beacon frame, SN=4058, FN=0, Flags=........C, BI=100, SSID=""uniwide""",Library,19,Saturday,4058.0,0,0.0,2024-10-26 19:09:05.021,0.001
177,2024-10-26 19:09:05.021,HewlettPacka_7a:5b:e1,Broadcast,802.11,361,-64 dBm,-72 dBm,8 dB,1,2412MHz,"Beacon frame, SN=4057, FN=0, Flags=........C, BI=100, SSID=Wildcard (Broadcast)",Library,19,Saturday,4057.0,0,0.0,2024-10-26 19:09:05.021,0.0
179,2024-10-26 19:09:05.030,HewlettPacka_5d:39:50,a6:ee:81:59:ae:ce,802.11,355,-65 dBm,-72 dBm,7 dB,1,2412MHz,"Probe Response, SN=2818, FN=0, Flags=........C, BI=100, SSID=""UNSW-IoT""",Library,19,Saturday,2818.0,0,0.0,2024-10-26 19:09:05.030,0.009
180,2024-10-26 19:09:05.031,HewlettPacka_5d:39:54,a6:ee:81:59:ae:ce,802.11,326,-70 dBm,-72 dBm,2 dB,1,2412MHz,"Probe Response, SN=2697, FN=0, Flags=........C, BI=100, SSID=""UNSW Guest""",Library,19,Saturday,2697.0,0,0.0,2024-10-26 19:09:05.031,0.001
181,2024-10-26 19:09:05.031,HewlettPacka_5d:39:52,a6:ee:81:59:ae:ce,802.11,337,-71 dBm,-72 dBm,1 dB,1,2412MHz,"Probe Response, SN=2117, FN=0, Flags=........C, BI=100, SSID=""Global_Students""",Library,19,Saturday,2117.0,0,0.0,2024-10-26 19:09:05.031,0.0
186,2024-10-26 19:09:05.054,HewlettPacka_59:cf:f0,Broadcast,802.11,370,-80 dBm,-72 dBm,-8 dB,1,2412MHz,"Beacon frame, SN=1094, FN=0, Flags=........C, BI=58958, SSID=""UNSW-IoT""[Malformed Packet]",Library,19,Saturday,1094.0,0,0.0,2024-10-26 19:09:05.054,0.023
187,2024-10-26 19:09:05.069,HewlettPacka_79:ea:a3,Broadcast,802.11,340,-66 dBm,-72 dBm,6 dB,1,2412MHz,"Beacon frame, SN=3841, FN=0, Flags=........C, BI=100, SSID=""UNSW Guest""",Library,19,Saturday,3841.0,0,0.0,2024-10-26 19:09:05.069,0.015
188,2024-10-26 19:09:05.069,HewlettPacka_79:ea:a4,Broadcast,802.11,352,-65 dBm,-72 dBm,7 dB,1,2412MHz,"Beacon frame, SN=3842, FN=0, Flags=........C, BI=100, SSID=""Global_Students""",Library,19,Saturday,3842.0,0,0.0,2024-10-26 19:09:05.069,0.0
189,2024-10-26 19:09:05.069,HewlettPacka_79:ea:a5,Broadcast,802.11,361,-66 dBm,-72 dBm,6 dB,1,2412MHz,"Beacon frame, SN=3843, FN=0, Flags=........C, BI=100, SSID=Wildcard (Broadcast)",Library,19,Saturday,3843.0,0,0.0,2024-10-26 19:09:05.069,0.0
193,2024-10-26 19:09:05.074,HewlettPacka_5d:39:52,Broadcast,802.11,352,-70 dBm,-72 dBm,2 dB,1,2412MHz,"Beacon frame, SN=2848, FN=0, Flags=........C, BI=100, SSID=""Global_Students""",Library,19,Saturday,2848.0,0,0.0,2024-10-26 19:09:05.074,0.005
192,2024-10-26 19:09:05.074,HewlettPacka_5d:39:54,Broadcast,802.11,341,-69 dBm,-72 dBm,3 dB,1,2412MHz,"Beacon frame, SN=2847, FN=0, Flags=........C, BI=100, SSID=""UNSW Guest""",Library,19,Saturday,2847.0,0,0.0,2024-10-26 19:09:05.074,0.0
190,2024-10-26 19:09:05.074,HewlettPacka_5d:39:50,Broadcast,802.11,370,-70 dBm,-72 dBm,2 dB,1,2412MHz,"Beacon frame, SN=2845, FN=0, Flags=........C, BI=100, SSID=""UNSW-IoT""",Library,19,Saturday,2845.0,0,0.0,2024-10-26 19:09:05.074,0.0
191,2024-10-26 19:09:05.074,HewlettPacka_5d:39:55,Broadcast,802.11,379,-71 dBm,-72 dBm,1 dB,1,2412MHz,"Beacon frame, SN=2846, FN=0, Flags=........C, BI=100, SSID=""eduroam""",Library,19,Saturday,2846.0,0,0.0,2024-10-26 19:09:05.074,0.0
194,2024-10-26 19:09:05.075,HewlettPacka_5d:39:53,Broadcast,802.11,362,-70 dBm,-72 dBm,2 dB,1,2412MHz,"Beacon frame, SN=2849, FN=0, Flags=........C, BI=100, SSID=Wildcard (Broadcast)",Library,19,Saturday,2849.0,0,0.0,2024-10-26 19:09:05.075,0.001
195,2024-10-26 19:09:05.075,HewlettPacka_5d:39:51,Broadcast,802.11,369,-71 dBm,-72 dBm,1 dB,1,2412MHz,"Beacon frame, SN=2850, FN=0, Flags=........C, BI=100, SSID=""uniwide""",Library,19,Saturday,2850.0,0,0.0,2024-10-26 19:09:05.075,0.0
196,2024-10-26 19:09:05.079,HewlettPacka_7b:13:15,Broadcast,802.11,378,-76 dBm,-72 dBm,-4 dB,1,2412MHz,"Beacon frame, SN=727, FN=0, Flags=........C, BI=100, SSID=""eduroam""",Library,19,Saturday,727.0,0,0.0,2024-10-26 19:09:05.079,0.004
197,2024-10-26 19:09:05.079,HewlettPacka_7b:13:14,Broadcast,802.11,340,-78 dBm,-72 dBm,-6 dB,1,2412MHz,"Beacon frame, SN=728, FN=0, Flags=........C, BI=100, SSID=""UNSW Guest""",Library,19,Saturday,728.0,0,0.0,2024-10-26 19:09:05.079,0.0
199,2024-10-26 19:09:05.112,HewlettPacka_7b:e0:35,Broadcast,802.11,378,-79 dBm,-72 dBm,-7 dB,1,2412MHz,"Beacon frame, SN=2773, FN=13, Flags=..m.R.F.C, BI=33937[Malformed Packet]",Library,19,Saturday,2773.0,0,0.0,2024-10-26 19:09:05.112,0.033
203,2024-10-26 19:09:05.122,HewlettPacka_7a:5b:e3,Broadcast,802.11,340,-62 dBm,-72 dBm,10 dB,1,2412MHz,"Beacon frame, SN=4061, FN=0, Flags=........C, BI=100, SSID=""UNSW Guest""",Library,19,Saturday,4061.0,0,0.0,2024-10-26 19:09:05.122,0.01
201,2024-10-26 19:09:05.122,HewlettPacka_7a:5b:e2,Broadcast,802.11,369,-62 dBm,-72 dBm,10 dB,1,2412MHz,"Beacon frame, SN=4059, FN=0, Flags=........C, BI=100, SSID=""UNSW-IoT""",Library,19,Saturday,4059.0,0,0.0,2024-10-26 19:09:05.122,0.0
202,2024-10-26 19:09:05.122,HewlettPacka_7a:5b:e0,Broadcast,802.11,378,-63 dBm,-72 dBm,9 dB,1,2412MHz,"Beacon frame, SN=4060, FN=0, Flags=........C, BI=100, SSID=""eduroam""",Library,19,Saturday,4060.0,0,0.0,2024-10-26 19:09:05.122,0.0
204,2024-10-26 19:09:05.136,HewlettPacka_59:cf:f4,Intel_3a:be:e3,802.11,354,-75 dBm,-72 dBm,-3 dB,1,2412MHz,"Probe Response, SN=571, FN=0, Flags=........C, BI=100, SSID=""uniwide""",Library,19,Saturday,571.0,0,0.0,2024-10-26 19:09:05.136,0.014
206,2024-10-26 19:09:05.157,HewlettPacka_59:cf:f5,Broadcast,802.11,352,-82 dBm,-72 dBm,-10 dB,1,2412MHz,"Beacon frame, SN=1103, FN=0, Flags=........C, BI=100, SSID=""Global_Students""",Library,19,Saturday,1103.0,0,0.0,2024-10-26 19:09:05.157,0.021
